date,spy
7/17/09,94.13
7/20/09,95.13
7/21/09,95.57
7/22/09,95.55
7/23/09,97.66
7/24/09,98.06
7/27/09,98.35
7/28/09,97.89
7/29/09,97.65
7/30/09,98.67
7/31/09,98.81
8/3/09,100.44
8/4/09,100.7
8/5/09,100.41
8/6/09,99.89
8/7/09,101.2
8/10/09,100.99
8/11/09,99.73
8/12/09,100.8
8/13/09,101.57
8/14/09,100.79
8/17/09,98.31
8/18/09,99.09
8/19/09,99.96
8/20/09,100.99
8/21/09,102.97
8/24/09,102.96
8/25/09,103.16
8/26/09,103.17
8/27/09,103.4
8/28/09,103.38
8/31/09,102.46
9/1/09,100.2
9/2/09,99.82
9/3/09,100.65
9/4/09,102.06
9/8/09,102.94
9/9/09,103.73
9/10/09,104.79
9/11/09,104.77
9/14/09,105.28
9/15/09,105.72
9/16/09,107.32
9/17/09,107.16
9/18/09,106.72
9/21/09,106.45
9/22/09,107.07
9/23/09,106.18
9/24/09,105.01
9/25/09,104.45
9/28/09,106.32
9/29/09,106
9/30/09,105.59
10/1/09,102.97
10/2/09,102.49
10/5/09,104.02
10/6/09,105.51
10/7/09,105.8
10/8/09,106.61
10/9/09,107.26
10/12/09,107.68
10/13/09,107.46
10/14/09,109.31
10/15/09,109.71
10/16/09,108.89
10/19/09,109.79
10/20/09,109.21
10/21/09,108.23
10/22/09,109.33
10/23/09,108.08
10/26/09,106.91
10/27/09,106.42
10/28/09,104.41
10/29/09,106.65
10/30/09,103.56
11/2/09,104.32
11/3/09,104.65
11/4/09,104.92
11/5/09,106.85
11/6/09,107.13
11/9/09,109.57
11/10/09,109.59
11/11/09,110.15
11/12/09,109.03
11/13/09,109.62
11/16/09,111.21
11/17/09,111.34
11/18/09,111.27
11/19/09,109.82
11/20/09,109.43
11/23/09,110.82
11/24/09,110.99
11/25/09,111.38
11/27/09,109.57
11/30/09,109.94
12/1/09,111.3
12/2/09,111.25
12/3/09,110.38
12/4/09,111.01
12/7/09,110.84
12/8/09,109.61
12/9/09,110.02
12/10/09,110.64
12/11/09,111.11
12/14/09,111.87
12/15/09,111.35
12/16/09,111.52
12/17/09,110.18
12/18/09,110.21
12/21/09,111.33
12/22/09,111.73
12/23/09,111.95
12/24/09,112.48
12/28/09,112.72
12/29/09,112.56
12/30/09,112.52
12/31/09,111.44
1/4/10,113.33
1/5/10,113.63
1/6/10,113.71
1/7/10,114.19
1/8/10,114.57
1/11/10,114.73
1/12/10,113.66
1/13/10,114.62
1/14/10,114.93
1/15/10,113.64
1/19/10,115.06
1/20/10,113.89
1/21/10,111.7
1/22/10,109.21
1/25/10,109.77
1/26/10,109.31
1/27/10,109.83
1/28/10,108.57
1/29/10,107.39
2/1/10,109.06
2/2/10,110.38
2/3/10,109.83
2/4/10,106.44
2/5/10,106.66
2/8/10,105.89
2/9/10,107.22
2/10/10,107.01
2/11/10,108.13
2/12/10,108.04
2/16/10,109.74
2/17/10,110.26
2/18/10,110.91
2/19/10,111.14
2/22/10,111.16
2/23/10,109.81
2/24/10,110.82
2/25/10,110.67
2/26/10,110.74
3/1/10,111.89
3/2/10,112.2
3/3/10,112.3
3/4/10,112.64
3/5/10,114.25
3/8/10,114.27
3/9/10,114.46
3/10/10,114.97
3/11/10,115.45
3/12/10,115.46
3/15/10,115.49
3/16/10,116.41
3/17/10,117.1
3/18/10,117.04
3/19/10,115.97
3/22/10,116.59
3/23/10,117.41
3/24/10,116.84
3/25/10,116.65
3/26/10,116.58
3/29/10,117.32
3/30/10,117.4
3/31/10,117
4/1/10,117.8
4/5/10,118.76
4/6/10,119.04
4/7/10,118.36
4/8/10,118.77
4/9/10,119.55
4/12/10,119.74
4/13/10,119.83
4/14/10,121.19
4/15/10,121.29
4/16/10,119.36
4/19/10,119.81
4/20/10,120.88
4/21/10,120.66
4/22/10,121.02
4/23/10,121.81
4/26/10,121.35
4/27/10,118.48
4/28/10,119.38
4/29/10,120.86
4/30/10,118.81
5/3/10,120.35
5/4/10,117.52
5/5/10,116.82
5/6/10,112.94
5/7/10,111.26
5/10/10,116.16
5/11/10,115.83
5/12/10,117.45
5/13/10,115.99
5/14/10,113.89
5/17/10,113.95
5/18/10,112.4
5/19/10,111.76
5/20/10,107.54
5/21/10,109.11
5/24/10,107.71
5/25/10,107.82
5/26/10,107.17
5/27/10,110.76
5/28/10,109.37
6/1/10,107.53
6/2/10,110.33
6/3/10,110.71
6/4/10,106.82
6/7/10,105.49
6/8/10,106.62
6/9/10,106.05
6/10/10,109.15
6/11/10,109.68
6/14/10,109.51
6/15/10,112
6/16/10,111.96
6/17/10,112.14
6/18/10,111.73
6/21/10,111.41
