date,value copper,value nickel
7/17/09,2.423,16047.86
7/20/09,2.469,16145.89
7/21/09,2.451,15871
7/22/09,2.5255,16174.88
7/23/09,2.524,16327
7/24/09,2.522,16692.91
7/27/09,2.545,16883.9
7/28/09,2.5205,16560.95
7/29/09,2.4775,16204.16
7/30/09,2.564,17164.88
7/31/09,2.6235,17897.87
8/3/09,2.7385,18772.86
8/4/09,2.7955,19290.92
8/5/09,2.812,20393
8/6/09,2.752,19538.33
8/7/09,2.7855,19558.5
8/10/09,2.7705,20126
8/11/09,2.7365,19424.5
8/12/09,2.8235,19579.2
8/13/09,2.914,20534.5
8/14/09,2.836,19515
8/17/09,2.7705,19078.79
8/18/09,2.7615,18785.74
8/19/09,2.7605,18822.31
8/20/09,2.7415,18878.74
8/21/09,2.8805,19300.68
8/24/09,2.915,19612.62
8/25/09,2.856,19374.3
8/26/09,2.861,19106.05
8/27/09,2.8579,18781.33
8/28/09,2.9395,19595
8/31/09,2.8228,18276.75
9/1/09,2.8185,18101.67
9/2/09,2.826,18300
9/3/09,2.865,17574.38
9/4/09,2.8665,17680.29
9/8/09,2.956,17933.33
9/9/09,2.924,17914.6
9/10/09,2.8765,17160
9/11/09,2.8465,16913
9/14/09,2.8045,16571
9/15/09,2.845,16680.06
9/16/09,2.9365,17220.27
9/17/09,2.896,17494.1
9/18/09,2.785,17069.14
9/21/09,2.8055,17312.14
9/22/09,2.8645,17668.11
9/23/09,2.808,17799.35
9/24/09,2.7095,17012.17
9/25/09,2.7405,16812.18
9/28/09,2.727,16661.19
9/29/09,2.729,17055.9
9/30/09,2.819,17820.74
10/1/09,2.737,17348.28
10/2/09,2.6815,17197.87
10/5/09,2.727,17463.86
10/6/09,2.7845,18044.77
10/7/09,2.7795,18572
10/8/09,2.8985,19175
10/9/09,2.838,18678
10/12/09,2.857,18746
10/13/09,2.7945,18088
10/14/09,2.8445,18480.6
10/15/09,2.859,18735
10/16/09,2.8455,18636
10/19/09,2.9665,19210.79
